x,y
-67.85,131.71
-77.22,131.71
-67.85,122.34
-77.22,122.34
-67.85,112.96
-77.22,112.96
-67.85,103.59
-77.22,103.59
-67.85,94.21
-77.22,94.21
-67.85,84.84
-77.22,84.84
-67.85,75.46
-77.22,75.46
-67.85,66.09
-77.22,66.09
-67.85,56.71
-77.22,56.71
-114.72,141.09
-39.72,141.09
-124.1,141.09
-49.1,141.09
-58.47,141.09
-86.6,141.09
-95.97,141.09
-105.35,141.09
-133.47,141.09
-114.72,131.71
-39.72,131.71
-124.1,131.71
-49.1,131.71
-58.47,131.71
-86.6,131.71
-95.97,131.71
-105.35,131.71
-133.47,131.71
-114.72,122.34
-39.72,122.34
-124.1,122.34
-49.1,122.34
-58.47,122.34
-86.6,122.34
-95.97,122.34
-105.35,122.34
-133.47,122.34
-114.72,112.96
-39.72,112.96
-124.1,112.96
-49.1,112.96
-58.47,112.96
-86.6,112.96
-95.97,112.96
-105.35,112.96
-133.47,112.96
-114.72,103.59
-39.72,103.59
-124.1,103.59
-49.1,103.59
-58.47,103.59
-86.6,103.59
-95.97,103.59
-105.35,103.59
-133.47,103.59
-114.72,94.21
-39.72,94.21
-124.1,94.21
-49.1,94.21
-58.47,94.21
-86.6,94.21
-95.97,94.21
-105.35,94.21
-133.47,94.21
-114.72,84.84
-39.72,84.84
-124.1,84.84
-49.1,84.84
-58.47,84.84
-86.6,84.84
-95.97,84.84
-105.35,84.84
-133.47,84.84
-114.72,75.46
-39.72,75.46
-124.1,75.46
-49.1,75.46
-58.47,75.46
-86.6,75.46
-95.97,75.46
-105.35,75.46
-133.47,75.46
-114.72,66.09
-39.72,66.09
-124.1,66.09
-49.1,66.09
-58.47,66.09
-86.6,66.09
-95.97,66.09
-105.35,66.09
-133.47,66.09
-114.72,56.71
-39.72,56.71
-124.1,56.71
-49.1,56.71
-58.47,56.71
-86.6,56.71
-95.97,56.71
-105.35,56.71
-133.47,56.71
-114.72,47.34
-39.72,47.34
-124.1,47.34
-49.1,47.34
-58.47,47.34
-86.6,47.34
-95.97,47.34
-105.35,47.34
-133.47,47.34
-114.72,37.96
-39.72,37.96
-124.1,37.96
-49.1,37.96
-58.47,37.96
-86.6,37.96
-95.97,37.96
