x,y
115.45,166.86
110.45,166.86
105.44,166.86
100.44,166.86
95.44,166.86
90.44,166.86
85.44,166.86
80.43,166.86
75.43,166.86
70.43,166.86
65.43,166.86
60.43,166.86
55.42,166.86
50.42,166.86
45.42,166.86
40.42,166.86
35.42,166.86
30.41,166.86
25.41,166.86
20.41,166.86
15.41,166.86
10.41,166.86
5.4,166.86
0.4,166.86
-4.6,166.86
-9.6,166.86
-14.6,166.86
-19.61,166.86
-24.61,166.86
-29.61,166.86
-34.61,166.86
-39.61,166.86
-44.62,166.86
-49.62,166.86
-54.62,166.86
-59.62,166.86
-64.62,166.86
-69.63,166.86
-74.63,166.86
-79.63,166.86
-84.63,166.86
-89.63,166.86
-94.64,166.86
-99.64,166.86
-104.64,166.86
-109.64,166.86
-114.64,166.86
-119.65,166.86
-124.65,166.86
-129.65,166.86
-134.65,166.86
-139.65,166.86
-144.66,166.86
-149.66,166.86
-154.66,166.86
-159.66,166.86
-160.87,163.06
-160.87,158.06
-160.87,153.06
-160.87,148.06
-160.87,143.06
-160.87,138.05
-160.87,133.05
-160.87,128.05
-160.87,123.05
-160.87,118.05
-160.87,113.04
-160.87,108.04
-160.87,103.04
-160.87,98.04
-160.87,93.04
-160.87,88.03
-160.87,83.03
-160.87,78.03
-160.87,73.03
-160.87,68.03
-160.87,63.02
-160.87,58.02
-161.86,54.01
-166.86,54.01
-171.87,54.01
-176.87,54.01
-181.87,54.01
-186.87,54.01
-191.87,54.01
-196.88,54.01
-201.88,54.01
-206.88,54.01
-211.88,54.01
-216.88,54.01
-221.88,54.01
-226.89,54.01
-229.53,56.37
-229.53,61.38
-229.53,66.38
-229.53,71.38
-229.53,76.38
-229.53,81.38
-229.53,86.39
-229.53,91.39
-229.53,96.39
-229.53,101.39
-229.53,106.39
-229.53,111.4
-229.53,116.4
-229.53,121.4
-229.53,126.4
-229.53,131.4
-229.53,136.41
-229.53,141.41
-229.53,146.41
-229.53,151.41
-229.53,156.41
-229.53,161.42
-229.53,166.42
-234.32,166.65
-239.33,166.68
-244.33,166.71
-249.33,166.74
-254.33,166.77
-259.33,166.8
-264.34,166.83
-269.34,166.86
-274.34,166.89
-279.34,166.92
-284.34,166.94
-289.34,166.97
-294.35,167
-299.35,167.03
-304.35,167.06
-309.35,167.09
-314.35,167.12
-319.36,167.15
-324.36,167.18
-329.36,167.21
-334.36,167.24
-339.36,167.27
-344.37,167.3
-349.37,167.32
-354.37,167.35
-359.37,167.38
-364.37,167.41
-369.38,167.44
-374.38,167.47
-379.38,167.5
-384.38,167.53
-389.38,167.56
-394.38,167.59
-399.39,167.62
-404.39,167.65
-409.39,167.68
-414.39,167.7
-419.39,167.73
-424.4,167.76
-429.4,167.79
-434.4,167.82
-439.4,167.85
-444.4,167.88
-449.41,167.91
-454.41,167.94
-459.41,167.97
-464.41,168
-469.41,168.03
-474.42,168.06
-479.42,168.08
-484.42,168.11
-489.42,168.14
-494.42,168.17
-499.42,168.2
-504.43,168.23
-509.43,168.26
-514.43,168.29
-519.43,168.32
-524.43,168.35
-529.44,168.38
-534.44,168.41
-539.44,168.44
-544.44,168.46
-549.44,168.49
-554.45,168.52
